#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2022-05-23T14:51:11 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ628b9f383dd816	
#INFO	-out.max=unlimited	
#INFO	queryParameters=46	
#-oc.form=dec
#-out.max=unlimited
#-sort=_r
#-nav=cat:J/MNRAS/504/3831&tab:{J/MNRAS/504/3831/tabled1}&tab:{J/MNRAS/504/3831/tabled2}&key:source=J/MNRAS/504/3831&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/504/3831/tabled1,J/MNRAS/504/3831/tabled2
#-order=I
#-out=GALFIT
#-out=SFRS
#-out=Name
#-out=SDSS
#-out=umag
#-out=e_umag
#-out=rmag
#-out=e_rmag
#-out=2MASS
#-out=Jmag
#-out=e_Jmag
#-out=Hmag
#-out=e_Hmag
#-out=Kmag
#-out=e_Kmag
#-out=SimbadName
#-out=_RA
#-out=_DE
#-out=Model
#-out=Comp
#-out=Phys
#-out=n
#-out=R
#-out=Kcorr
#-out=LK
#-out=u-r
#-out=M/L
#-out=M/Lgal
#-out=M
#-out=Mgal
#-out=Method
#-out=B/T
#-out=e_B/T
#-out=Dist
#-out=Nuc
#-out=Weight
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#
#Table	J_MNRAS_504_3831_tabled2:
#Name: J/MNRAS/504/3831/tabled2
#Title: GALFIT model results for the SFRS sample
#Column	Name	(a22)	Common galaxy name	[ucd=meta.id;meta.main]
#Column	Kmag	(F5.2)	Component K-band magnitude (Vega)	[ucd=phot.mag;em.IR.K]
#Column	e_Kmag	(F5.2)	Component K-band magnitude (Vega) error	[ucd=stat.error;phot.mag]
#Column	Model	(a23)	Selected model (see definition in Sect. 4.2)	[ucd=stat.param;meta.modelled]
#Column	Comp	(a9)	Selected model component (see definition in Sect. 4.2) (1)	[ucd=stat.param]
#Column	Phys	(A5)	Physical interpretation of component (2)	[ucd=src.class]
#Column	n	(F4.1)	? Sersic index	[ucd=stat.fit.param]
#Column	R	(F5.1)	? Effective radius (for Sersic), or scale height (for exDisk)	[ucd=phys.angSize]
#Column	Kcorr	(F6.3)	K correction factor	[ucd=arith.factor;phot.mag]
#Column	LK	(D9.2)	Component K-band luminosity	[ucd=phys.luminosity;em.IR]
#Column	u-r	(F5.2)	? Component color form our decomposition (the global galaxy color is reported in Table D1)	[ucd=phot.color;em.opt.U;em.opt.R]
#Column	M/L	(F6.3)	? Component mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M/Lgal	(F6.3)	Galaxy mass-to-light ratio	[ucd=phys.composition.massLightRatio]
#Column	M	(E9.2)	? Component mass (3)	[ucd=phys.mass]
#Column	Mgal	(E9.2)	Component mass	[ucd=phys.mass]
#Column	Method	(A6)	Decomposition method (4)	[ucd=meta.note]
#Column	B/T	(F6.3)	? Bulge-to-total ratio	[ucd=phys.luminosity;arith.ratio]
#Column	e_B/T	(F6.3)	? Bulge-to-total ratio error	[ucd=stat.error]
#Column	Dist	(E9.2)	Distance from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011)	[ucd=pos.distance]
#Column	Nuc	(a6)	Nuclear classification by Maragkoudakis et al. (2018)	[ucd=meta.code.class]
#Column	Weight	(F4.1)	Galaxy representativeness weight from Ashby et al. (2011PASP..123.1011A, Cat. J/PASP/123/1011) (5)	[ucd=stat.weight;phys.atmol.weight]
Name|Kmag|e_Kmag|Model|Comp|Phys|n|R|Kcorr|LK|u-r|M/L|M/Lgal|M|Mgal|Method|B/T|e_B/T|Dist|Nuc|Weight
CGCG289-012           |11.60| 0.04|Sersic                 |Sersic   |disk | 1.3|  4.5| 0.934| 7.04e+43| 2.01| 0.813| 0.767| 1.15e+11| 1.09e+11|GALFIT|      |      | 1.72e+08|HII   | 4.5
MCG8-18-013           |11.47| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.2|  5.3| 0.940| 3.31e+43| 2.65| 0.929| 0.826| 6.19e+10| 7.87e+10|GALFIT| 0.303| 0.062| 1.11e+08|HII   |14.2
MCG8-18-013           |12.37| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.940| 1.44e+43| 2.65| 0.929| 0.826| 2.69e+10| 7.87e+10|GALFIT| 0.303| 0.062| 1.11e+08|HII   |14.2
CGCG181-068           |12.24| 0.06|Sersic+exDisk          |Sersic   |bulge| 4.0|  3.2| 0.912| 1.30e+43| 2.97| 0.994| 0.926| 2.60e+10| 7.79e+10|GALFIT| 0.312| 0.118| 1.01e+08|TO    | 5.5
CGCG181-068           |11.38| 0.04|Sersic+exDisk          |exDisk   |disk |    |  6.4| 0.912| 2.87e+43| 2.61| 0.922| 0.926| 5.32e+10| 7.79e+10|GALFIT| 0.312| 0.118| 1.01e+08|TO    | 5.5
NGC2955               |10.08| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.2| 13.4| 0.958| 1.06e+44| 2.09| 0.826| 0.827| 1.76e+11| 1.84e+11|GALFIT| 0.041| 0.007| 1.04e+08|HII   | 4.8
NGC2955               |13.49| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.958| 4.57e+42| 4.75| 1.443| 0.827| 1.33e+10| 1.84e+11|GALFIT| 0.041| 0.007| 1.04e+08|HII   | 4.8
CGCG182-010           |12.10| 0.06|Sersic+exDisk          |Sersic   |bulge| 4.0|  3.0| 0.902| 4.43e+43| 2.80| 0.959| 0.850| 8.55e+10| 1.42e+11|GALFIT| 0.532| 0.030| 1.75e+08|HII   | 7.4
CGCG182-010           |12.24| 0.05|Sersic+exDisk          |exDisk   |disk |    |  2.2| 0.902| 3.89e+43| 1.86| 0.788| 0.850| 6.17e+10| 1.42e+11|GALFIT| 0.532| 0.030| 1.75e+08|HII   | 7.4
UGC5228               |10.00| 0.04|Sersic                 |Sersic   |disk | 1.4| 36.8| 0.982| 8.65e+42| 2.01| 0.813| 0.822| 1.41e+10| 1.43e+10|GALFIT|      |      | 2.82e+07|HII   | 4.6
IRAS09438+1141        |12.14| 0.07|Sersic                 |Sersic   |mixed| 3.0|  4.7| 0.909| 5.78e+43|     |      | 0.779|         | 9.06e+10|C->B/T| 0.119| 0.032| 2.03e+08|HII   | 4.5
NGC3015               |12.65| 0.26|Sersic+psfAgn + exDisk |Sersic   |bulge| 4.0|  0.7| 0.942| 1.08e+43| 2.85| 0.969| 0.832| 2.11e+10| 1.12e+11|GALFIT| 0.162| 0.161| 1.09e+08|TO    | 7.4
NGC3015               |13.66| 0.14|Sersic+psfAgn + exDisk |psfAgn   |AGN  |    |     | 0.942| 4.24e+42|     |      | 0.832|         | 1.12e+11|GALFIT| 0.162| 0.161| 1.09e+08|TO    | 7.4
NGC3015               |10.86| 0.05|Sersic+psfAgn + exDisk |exDisk   |disk |    |  2.7| 0.942| 5.60e+43| 1.95| 0.803| 0.832| 9.05e+10| 1.12e+11|GALFIT| 0.162| 0.161| 1.09e+08|TO    | 7.4
MCG2-25-039           |11.32| 0.03|Sersic                 |Sersic   |mixed| 1.7|  5.2| 0.954| 1.89e+43|     |      | 0.800|         | 3.04e+10|C->B/T| 0.181| 0.048| 7.76e+07|HII   | 4.7
NGC3020               |10.41| 0.05|Sersic+psfAgn          |Sersic   |disk | 1.7| 37.4| 0.995| 2.53e+42| 1.15| 0.679| 0.701| 3.46e+09| 3.57e+09|GALFIT| 0.004| 0.014| 1.83e+07|HII   | 3.0
NGC3020               |16.29| 0.23|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.995| 1.13e+40| 0.70| 0.618| 0.701| 1.41e+07| 3.57e+09|GALFIT| 0.004| 0.014| 1.83e+07|HII   | 3.0
NGC3049               |10.14| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.0| 35.4| 0.991| 3.23e+42| 2.01| 0.813| 0.752| 5.28e+09| 4.98e+09|GALFIT| 0.017| 0.008| 1.83e+07|HII   | 5.7
NGC3049               |14.54| 0.09|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.991| 5.62e+40| 2.65| 0.929| 0.752| 1.05e+08| 4.98e+09|GALFIT| 0.017| 0.008| 1.83e+07|HII   | 5.7
NGC3055               | 9.05| 0.04|Sersic+psfAgn          |Sersic   |disk | 2.3| 42.9| 0.990| 1.64e+43| 1.52| 0.733| 0.739| 2.42e+10| 2.49e+10|GALFIT| 0.017| 0.004| 2.50e+07|HII   | 9.5
NGC3055               |13.46| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.990| 2.83e+41| 1.35| 0.708| 0.739| 4.03e+08| 2.49e+10|GALFIT| 0.017| 0.004| 2.50e+07|HII   | 9.5
IC2520                |10.40| 0.04|Sersic                 |Sersic   |disk | 1.4|  5.8| 0.985| 5.26e+42| 2.01| 0.813| 0.805| 8.60e+09| 8.52e+09|GALFIT|      |      | 2.64e+07|HII   | 8.3
UGC5403               | 9.96| 0.04|Sersic                 |Sersic   |mixed| 5.9| 10.9| 0.981| 1.23e+43|     |      | 0.894|         | 2.21e+10|C->B/T| 0.187| 0.050| 3.30e+07|HII   | 5.7
UGC5459               | 9.76| 0.04|Sersic                 |Sersic   |disk | 1.0| 45.9| 0.993| 9.14e+42| 2.01| 0.813| 0.901| 1.50e+10| 1.66e+10|GALFIT|      |      | 2.58e+07|HII   | 5.0
MCG5-24-022           |11.50| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  3.7| 0.921| 2.17e+43| 2.93| 0.985| 0.877| 4.30e+10| 6.85e+10|GALFIT| 0.559| 0.080| 9.21e+07|HII   | 2.3
MCG5-24-022           |11.76| 0.04|Sersic+exDisk          |exDisk   |disk |    |  3.3| 0.921| 1.71e+43| 2.03| 0.816| 0.877| 2.81e+10| 6.85e+10|GALFIT| 0.559| 0.080| 9.21e+07|HII   | 2.3
IC2551                |10.33| 0.05|Sersic                 |Sersic   |mixed| 9.2|  7.7| 0.960| 7.07e+43|     |      | 0.789|         | 1.12e+11|C->B/T| 0.250| 0.066| 9.49e+07|HII   | 9.8
IRAS10106+2745        |12.09| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.9|  4.5| 0.827| 6.21e+43| 2.39| 0.880| 0.994| 1.10e+11| 1.31e+11|GALFIT| 0.051| 0.014| 2.16e+08|HII   | 2.7
IRAS10106+2745        |15.26| 0.15|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.827| 3.35e+42| 3.88| 1.202| 0.994| 8.10e+09| 1.31e+11|GALFIT| 0.051| 0.014| 2.16e+08|HII   | 2.7
NGC3162               |11.87| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  2.7| 0.995| 1.37e+42| 1.34| 0.706| 0.755| 1.95e+09| 2.16e+10|GALFIT| 0.096| 0.030| 2.64e+07|HII   |14.5
NGC3162               | 9.44| 0.04|Sersic+exDisk          |exDisk   |disk |    | 17.0| 0.995| 1.29e+43| 1.61| 0.747| 0.755| 1.94e+10| 2.16e+10|GALFIT| 0.096| 0.030| 2.64e+07|HII   |14.5
IRAS10120+1653        |13.49| 0.07|Sersic                 |Sersic   |mixed| 4.2|  1.9| 0.452| 5.39e+43|     |      | 0.900|         | 9.76e+10|C->B/T| 0.128| 0.034| 5.17e+08|LINER | 3.5
NGC3190               | 9.05| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  2.6| 0.984| 1.82e+43| 2.65| 0.929| 0.979| 3.40e+10| 1.32e+11|GALFIT| 0.273| 0.020| 2.64e+07|LINER |22.2
NGC3190               | 7.99| 0.04|Sersic+exDisk          |exDisk   |disk |    | 17.5| 0.984| 4.84e+43| 2.01| 0.813| 0.979| 7.92e+10| 1.32e+11|GALFIT| 0.273| 0.020| 2.64e+07|LINER |22.2
IC602                 |10.53| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.0|  9.9| 0.983| 2.22e+43| 2.01| 0.813| 0.763| 3.63e+10| 3.50e+10|GALFIT| 0.024| 0.015| 5.76e+07|HII   | 8.3
IC602                 |14.57| 0.07|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.983| 5.37e+41| 2.65| 0.929| 0.763| 1.00e+09| 3.50e+10|GALFIT| 0.024| 0.015| 5.76e+07|HII   | 8.3
NGC3191               |11.13| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.7|  9.5| 0.953| 6.70e+43| 1.57| 0.741| 0.804| 9.99e+10| 1.17e+11|GALFIT| 0.072| 0.014| 1.34e+08|HII   | 8.7
NGC3191               |13.90| 0.05|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.953| 5.22e+42| 3.48| 1.106| 0.804| 1.16e+10| 1.17e+11|GALFIT| 0.072| 0.014| 1.34e+08|HII   | 8.7
NGC3206               |10.49| 0.05|Sersic+psfAgn          |Sersic   |disk | 1.7| 29.4| 0.996| 4.68e+42| 1.38| 0.712| 0.743| 6.70e+09| 6.99e+09|GALFIT| 0.004| 0.010| 2.58e+07|HII   | 2.8
NGC3206               |16.40| 0.24|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.996| 2.02e+40| 0.50| 0.592| 0.743| 2.41e+07| 6.99e+09|GALFIT| 0.004| 0.010| 2.58e+07|HII   | 2.8
UGC5613               |10.82| 0.04|Sersic                 |Sersic   |mixed| 1.9|  6.0| 0.899| 9.15e+43|     |      | 0.837|         | 1.54e+11|C->B/T| 0.190| 0.050| 1.40e+08|HII   | 8.4
UGC5644               |12.62| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.5| 0.953| 1.79e+43| 3.31| 1.067| 1.016| 3.84e+10| 1.96e+11|GALFIT| 0.188| 0.247| 1.38e+08|LINER | 1.7
UGC5644               |11.03| 0.04|Sersic+exDisk          |exDisk   |disk |    |  7.2| 0.953| 7.74e+43| 2.51| 0.902| 1.016| 1.40e+11| 1.96e+11|GALFIT| 0.188| 0.247| 1.38e+08|LINER | 1.7
NGC3245               | 7.58| 0.04|Sersic+psfAgn          |Sersic   |disk | 5.6| 35.0| 0.991| 4.45e+43| 2.68| 0.935| 0.966| 8.37e+10| 8.90e+10|GALFIT| 0.031|      | 2.09e+07|HII   | 2.0
NGC3245               |11.31| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.991| 1.43e+42| 3.15| 1.032| 0.966| 2.97e+09| 8.90e+10|GALFIT| 0.031|      | 2.09e+07|HII   | 2.0
IRAS10246+2042        |10.94| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.8|  4.9| 0.969| 3.20e+43| 2.18| 0.842| 0.796| 5.42e+10| 5.27e+10|GALFIT| 0.030| 0.008| 8.42e+07|HII   | 9.8
IRAS10246+2042        |14.70| 0.19|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.969| 1.00e+42| 2.93| 0.985| 0.796| 1.98e+09| 5.27e+10|GALFIT| 0.030| 0.008| 8.42e+07|HII   | 9.8
MCG7-22-012           |11.02| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.5|  9.9| 0.942| 1.78e+43| 2.24| 0.853| 0.851| 3.06e+10| 3.19e+10|GALFIT| 0.043| 0.016| 6.60e+07|HII   | 2.3
MCG7-22-012           |14.38| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.942| 8.05e+41| 2.24| 0.853| 0.851| 1.38e+09| 3.19e+10|GALFIT| 0.043| 0.016| 6.60e+07|HII   | 2.3
IRAS10276+1119        |12.21| 0.07|Sersic                 |Sersic   |mixed| 6.0|  2.3| 0.829| 8.83e+43|     |      | 0.760|         | 1.35e+11|C->B/T| 0.192| 0.051| 2.71e+08|HII   | 2.7
NGC3265               |10.54| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.7|  7.2| 0.990| 3.17e+42| 1.75| 0.770| 0.780| 4.91e+09| 5.46e+09|GALFIT| 0.086| 0.023| 2.18e+07|HII   | 5.7
NGC3265               |13.11| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.990| 2.97e+41| 1.62| 0.749| 0.780| 4.48e+08| 5.46e+09|GALFIT| 0.086| 0.023| 2.18e+07|HII   | 5.7
UGC5713               |11.80| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.9| 0.956| 1.82e+43| 3.68| 1.153| 0.957| 4.22e+10| 1.18e+11|GALFIT| 0.296| 0.033| 9.50e+07|SN    | 2.3
UGC5713               |10.86| 0.04|Sersic+exDisk          |exDisk   |disk |    |  9.9| 0.956| 4.33e+43| 2.37| 0.876| 0.957| 7.63e+10| 1.18e+11|GALFIT| 0.296| 0.033| 9.50e+07|SN    | 2.3
NGC3274               |10.64| 0.04|Sersic                 |Sersic   |disk | 1.3| 21.9| 0.997| 6.13e+41| 2.01| 0.813| 0.698| 1.00e+09| 8.60e+08|GALFIT|      |      | 1.00e+07|HII   | 1.7
UGC5720               |10.09| 0.05|Sersic+psfAgn          |Sersic   |disk | 5.9| 16.2| 0.990| 4.04e+42| 0.00| 0.533| 0.692| 4.33e+09| 5.62e+09|GALFIT| 0.004| 0.002| 2.00e+07|HII   | 4.3
UGC5720               |16.16| 0.49|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.990| 1.51e+40| 0.00| 0.533| 0.692| 1.62e+07| 5.62e+09|GALFIT| 0.004| 0.002| 2.00e+07|HII   | 4.3
KUG1031+351           |10.70| 0.04|Sersic                 |Sersic   |mixed| 3.6|  9.1| 0.860| 4.45e+44|     |      | 0.705|         | 6.30e+11|C->B/T| 0.126| 0.033| 2.98e+08|HII   | 1.5
NGC3306               |10.46| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.2|  8.0| 0.976| 1.54e+43| 1.95| 0.803| 0.837| 2.49e+10| 2.64e+10|GALFIT| 0.021| 0.014| 4.66e+07|HII   | 8.3
NGC3306               |14.65| 0.16|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.976| 3.24e+41| 1.95| 0.803| 0.837| 5.23e+08| 2.64e+10|GALFIT| 0.021| 0.014| 4.66e+07|HII   | 8.3
NGC3323               |11.24| 0.04|Sersic                 |Sersic   |disk | 1.4| 11.0| 0.967| 2.16e+43| 2.01| 0.813| 0.736| 3.53e+10| 3.20e+10|GALFIT|      |      | 7.95e+07|HII   | 4.7
IC2598                |13.18| 0.20|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.9| 0.932| 4.38e+42| 3.61| 1.136| 0.797| 1.00e+10| 4.95e+10|GALFIT| 0.142| 0.079| 8.91e+07|HII   | 9.8
IC2598                |11.23| 0.05|Sersic+exDisk          |exDisk   |disk |    |  2.6| 0.932| 2.64e+43| 2.55| 0.910| 0.797| 4.83e+10| 4.95e+10|GALFIT| 0.142| 0.079| 8.91e+07|HII   | 9.8
NGC3338               |11.01| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  5.4| 0.989| 1.98e+42| 3.26| 1.056| 0.879| 4.21e+09| 3.73e+10|GALFIT| 0.094| 0.027| 2.14e+07|LINER |13.2
NGC3338               | 8.55| 0.04|Sersic+exDisk          |exDisk   |disk |    | 27.2| 0.989| 1.91e+43| 2.00| 0.811| 0.879| 3.12e+10| 3.73e+10|GALFIT| 0.094| 0.027| 2.14e+07|LINER |13.2
NGC3353               |10.60| 0.04|Sersic                 |Sersic   |mixed| 1.9|  9.4| 0.996| 1.63e+42|     |      | 0.596|         | 1.95e+09|C->B/T| 0.142| 0.038| 1.60e+07|HII   | 4.3
UGC5881               |10.26| 0.06|Sersic                 |Sersic   |mixed| 7.7|  8.3| 0.972| 7.33e+43|     |      | 0.882|         | 1.30e+11|C->B/T| 0.189| 0.050| 9.30e+07|HII   | 4.8
NGC3370               | 9.37| 0.03|Sersic+psfAgn          |Sersic   |disk | 2.0| 21.7| 0.991| 8.57e+42| 1.98| 0.808| 0.847| 1.39e+10| 1.49e+10|GALFIT| 0.015| 0.006| 2.09e+07|HII   |14.5
NGC3370               |13.92| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.991| 1.30e+41| 3.47| 1.103| 0.847| 2.89e+08| 1.49e+10|GALFIT| 0.015| 0.006| 2.09e+07|HII   |14.5
NGC3381               |10.32| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.3| 23.4| 0.984| 5.36e+42| 1.40| 0.715| 0.727| 7.71e+09| 7.92e+09|GALFIT| 0.012| 0.007| 2.57e+07|HII   | 2.3
NGC3381               |15.07| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.984| 6.75e+40|-0.30| 0.501| 0.727| 6.80e+07| 7.92e+09|GALFIT| 0.012| 0.007| 2.57e+07|HII   | 2.3
UGC5941_NED02         |10.31| 0.05|Sersic+psfAgn          |Sersic   |disk | 8.7| 10.4| 0.938| 8.94e+43| 2.50| 0.901| 0.843| 1.62e+11| 1.53e+11|GALFIT| 0.007| 0.007| 1.07e+08|HII   |13.2
UGC5941_NED02         |15.65| 0.39|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.938| 6.54e+41| 6.26| 1.980| 0.843| 2.61e+09| 1.53e+11|GALFIT| 0.007| 0.007| 1.07e+08|HII   |13.2
NGC3413               |10.82| 0.04|Sersic                 |Sersic   |disk | 1.4| 10.7| 0.999| 1.36e+42| 2.01| 0.813| 0.721| 2.22e+09| 1.98e+09|GALFIT|      |      | 1.62e+07|HII   | 1.7
NGC3408               |10.60| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.4| 13.4| 0.929| 1.13e+44| 1.86| 0.788| 0.822| 1.79e+11| 1.96e+11|GALFIT| 0.042| 0.013| 1.38e+08|HII   | 1.5
NGC3408               |14.00| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.929| 4.93e+42| 2.04| 0.818| 0.822| 8.11e+09| 1.96e+11|GALFIT| 0.042| 0.013| 1.38e+08|HII   | 1.5
NGC3430               |12.22| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  1.5| 0.988| 1.14e+42| 3.07| 1.015| 0.877| 2.33e+09| 4.45e+10|GALFIT| 0.045| 0.017| 2.84e+07|HII   |22.2
NGC3430               | 8.91| 0.04|Sersic+exDisk          |exDisk   |disk |    | 19.3| 0.988| 2.41e+43| 1.89| 0.792| 0.877| 3.84e+10| 4.45e+10|GALFIT| 0.045| 0.017| 2.84e+07|HII   |22.2
CGCG95-055            |11.58| 0.06|Sersic+psfAgn          |Sersic   |disk | 3.2|  7.7| 0.982| 1.68e+42| 2.57| 0.914| 0.910| 3.09e+09| 3.53e+09|GALFIT| 0.127| 0.065| 2.57e+07|SN    | 1.5
CGCG95-055            |13.67| 0.09|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.982| 2.45e+41| 3.93| 1.215| 0.910| 5.99e+08| 3.53e+09|GALFIT| 0.127| 0.065| 2.57e+07|SN    | 1.5
IRAS10565+2448W       |11.46| 0.04|Sersic_n4              |Sersic_n4|bulge| 4.0|  0.7| 0.905| 8.96e+43| 2.65| 0.929| 0.865| 1.67e+11| 1.56e+11|GALFIT| 1.000| 0.265| 1.85e+08|SN    |15.5
UGC6074               |12.19| 0.05|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.6| 0.981| 2.09e+42| 3.53| 1.117| 1.002| 4.70e+09| 1.85e+10|GALFIT| 0.227| 0.073| 3.80e+07|HII   | 6.9
UGC6074               |10.86| 0.04|Sersic+exDisk          |exDisk   |disk |    |  7.1| 0.981| 7.11e+42| 2.15| 0.837| 1.002| 1.20e+10| 1.85e+10|GALFIT| 0.227| 0.073| 3.80e+07|HII   | 6.9
NGC3495               | 8.46| 0.03|Sersic+psfAgn          |Sersic   |disk | 1.1| 85.2| 0.992| 1.39e+43| 2.01| 0.813| 0.862| 2.27e+10| 2.41e+10|GALFIT| 0.004| 0.002| 1.75e+07|HII   | 5.0
NGC3495               |14.46| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.992| 5.53e+40| 2.65| 0.929| 0.862| 1.03e+08| 2.41e+10|GALFIT| 0.004| 0.002| 1.75e+07|HII   | 5.0
UGC6103               |10.95| 0.04|Sersic+psfAgn          |Sersic   |disk | 0.7| 10.6| 0.951| 3.69e+43| 1.44| 0.721| 0.737| 5.35e+10| 6.53e+10|GALFIT| 0.158| 0.017| 9.17e+07|HII   | 9.8
UGC6103               |12.77| 0.04|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.951| 6.91e+42| 1.35| 0.708| 0.737| 9.84e+09| 6.53e+10|GALFIT| 0.158| 0.017| 9.17e+07|HII   | 9.8
UGC6135               | 9.93| 0.04|Sersic+psfAgn          |Sersic   |disk | 1.7|  9.0| 0.961| 9.38e+43| 2.01| 0.813| 0.826| 1.53e+11| 1.60e+11|GALFIT| 0.026| 0.007| 9.09e+07|LINER | 4.8
UGC6135               |13.88| 0.06|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.961| 2.47e+42| 4.47| 1.361| 0.826| 6.76e+09| 1.60e+11|GALFIT| 0.026| 0.007| 9.09e+07|LINER | 4.8
CGCG241-078           |11.80| 0.06|Sersic+psfAgn          |Sersic   |disk | 2.0|  3.7| 0.925| 2.40e+43| 2.75| 0.949| 0.889| 4.58e+10| 5.36e+10|GALFIT| 0.195| 0.072| 1.11e+08|HII   | 8.1
CGCG241-078           |13.34| 0.13|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.925| 5.81e+42| 2.62| 0.923| 0.889| 1.08e+10| 5.36e+10|GALFIT| 0.195| 0.072| 1.11e+08|HII   | 8.1
IC676                 | 9.70| 0.04|Sersic+psfAgn          |Sersic   |disk | 3.0| 21.8| 0.986| 1.04e+43| 1.96| 0.804| 0.809| 1.68e+10| 1.73e+10|GALFIT| 0.016| 0.006| 2.69e+07|HII   | 5.7
IC676                 |14.17| 0.09|Sersic+psfAgn          |psfAgn   |bulge|    |     | 0.986| 1.70e+41|-0.48| 0.482| 0.809| 1.65e+08| 1.73e+10|GALFIT| 0.016| 0.006| 2.69e+07|HII   | 5.7
IRAS11102+3026        |12.22| 0.04|Sersic                 |Sersic   |mixed| 2.0|  2.7| 0.936| 2.25e+43|     |      | 0.916|         | 4.15e+10|C->B/T| 0.130| 0.034| 1.30e+08|LINER | 7.0
IC2637                |10.15| 0.04|Sersic                 |Sersic   |mixed| 5.4| 11.9| 0.930| 1.47e+44|     |      | 0.795|         | 2.36e+11|C->B/T| 0.188| 0.050| 1.28e+08|SN    | 7.4
MCG9-19-013           |13.07| 0.10|Sersic+exDisk          |Sersic   |bulge| 4.0|  3.9| 0.852| 2.27e+43| 3.20| 1.043| 0.918| 4.76e+10| 1.01e+11|GALFIT| 0.417| 0.165| 2.02e+08|TO    | 2.7
MCG9-19-013           |12.71| 0.05|Sersic+exDisk          |exDisk   |disk |    |  2.8| 0.852| 3.17e+43| 1.93| 0.799| 0.918| 5.10e+10| 1.01e+11|GALFIT| 0.417| 0.165| 2.02e+08|TO    | 2.7
2MASXJ11193404+5335181|12.26| 0.04|Sersic_n1              |Sersic_n1|disk | 1.0|  1.1| 0.625| 1.73e+44| 2.01| 0.813| 0.821| 2.83e+11| 2.85e+11|GALFIT|      |      | 4.47e+08|TO    | 6.6
NGC3633               |11.74| 0.04|Sersic+exDisk          |Sersic   |bulge| 4.0|  0.9| 0.980| 1.97e+42| 3.57| 1.127| 0.928| 4.47e+09| 2.06e+10|GALFIT| 0.178| 0.067| 3.00e+07|HII   | 9.5
